Parameter,Best,Lower_error,Upper_error
P,2.798579206577364,-1.8841908877575975e-07,6.589727030714698e-08
t0,2456297.719694774,-0.00022921478375792503,4.529859870672226e-05
a,10.054554061666453,-0.6786992946619925,0.13734176719801638
inc,88.26279078692141,-0.449435857126943,0.5814716445574248
rp,0.11833815949114848,-0.003546964857012752,0.0005751033511145198
q0,0.2751276668129855,-0.16914606336321375,0.5029033264808374
q1,0.6445447720278056,-0.39136205732589585,0.22463858226539724
d0_0,0.0001285662071957253,-0.0009027203316922832,0.000789409934991599
d1_0,0.0014236084987577407,-0.0020059573783387016,5.2759465607246864e-05
norm,0.9995819817751366,-0.0010509706994379364,0.005579644706497744
